focus,product_name,product_one_liner,description,product_url,keywords,id
Platform,Databricks Data Intelligence Platform,"A unified platform for data, analytics and AI","Intelligent. Simple. Private.
The Databricks Data Intelligence Platform allows your entire organization to use data and AI. It’s built on a lakehouse to provide an open, unified foundation for all data and governance, and is powered by a Data Intelligence Engine that understands the uniqueness of your data.
The winners in every industry will be data and AI companies. From ETL to data warehousing to generative AI, Databricks helps you simplify and accelerate your data and AI goals.

Intelligent:Databricks combines generative AI with the unification benefits of a lakehouse to power a Data Intelligence Engine that understands the unique semantics of your data. This allows the Databricks Platform to automatically optimize performance and manage infrastructure in ways unique to your business.

Simple: Natural language substantially simplifies the user experience on Databricks. The Data Intelligence Engine understands your organization’s language, so search and discovery of new data is as easy as asking a question like you would to a coworker. Additionally, developing new data and applications is accelerated through natural language assistance to write code, remediate errors and find answers

Private: Data and AI applications require strong governance and security, especially with the advent of generative AI. Databricks provides an end-to-end MLOps and AI development solution that’s built upon our unified approach to governance and security. You’re able to pursue all your AI initiatives — from using APIs like OpenAI to custom-built models — without compromising data privacy and IP control..



",https://www.databricks.com/product/data-intelligence-platform,"Lakehouse, data integration, unified analytics, scalability, multi-cloud, real-time insights, ETL, AI, ML, open ecosystem, modern data platform",0
Sharing,Delta Sharing,"An open, secure, zero-copy sharing for all data","Databricks and the Linux Foundation developed Delta Sharing to provide the first open source approach to data sharing across data, analytics and AI. Customers can share live data across platforms, clouds and regions with strong security and governance.
Key benefits - 
1. Open cross-platform sharing: Avoid vendor lock-in, and easily share existing data in Delta Lake and Apache Parquet formats to any data platform.
2. Share live data with no replication: Share across data platforms, clouds or regions without copying, and share using Cloudflare R2 to lower costs with zero egress fees.
3. Centralized governance: Centrally manage, govern, audit and track usage of the shared data on one platform.
4. Marketplace for data products: Build and package data products — including datasets, AI models and notebooks — once and distribute them anywhere through an open marketplace.
5. Privacy-safe data clean rooms: Easily collaborate with your customers and partners on any cloud via a secure hosted environment while safeguarding data privacy.

How it works:
1. Native integration with the Databricks Platform: Delta Sharing has native integration with Unity Catalog, which allows you to centrally manage and audit shared data across organizations. This lets you confidently share data assets with suppliers and partners for better coordination of your business while meeting security and compliance needs.
2. Easily manage data and AI assets: Empower any AI or BI workload by collaborating on all types of data assets, including structured datasets, or unstructured datasets with volume sharing, AI models, notebooks and code. Sign up now to get early access to Cross-Platform View Sharing and also early access to Materialized Views and Streaming Tables Sharing.
3. Discover and access data products through an open marketplace: Databricks Marketplace allows you to easily discover, evaluate and gain access to data products including datasets, AI models, dashboards and notebooks from anywhere, without the need to be on the Databricks Platform.
4. Privacy-safe data clean rooms: Collaborate with your customers and partners on any cloud in a privacy-safe environment with Databricks Clean Rooms. Securely share data without data replication. Meet collaborators on their preferred cloud and provide them with the flexibility to run complex computations and workloads in any language — SQL and Python, as well as R, Scala and Java (coming soon). Guide collaborators through common use cases using predefined templates, notebooks and dashboards, accelerating time to insights.

Use Cases: 
1. Internal line of business sharing: Build Data Mesh with Delta Sharing to securely share data with business units and subsidiaries across clouds or regions without copying or replicating the data.
2. Securely share data with your partners and suppliers without requiring them to be on the Databricks Platform.
3. Data Monetization: Distribute and monetize data products — datasets, machine learning models and dashboards — without the need for customers to be on the Databricks Platform.


",https://www.databricks.com/product/delta-sharing,"sharing, marketplace",1
Sharing,Databricks Clean rooms,"Privacy-safe collaboration for data, analytics and AI
","Databricks Clean Rooms allow businesses to easily collaborate in a secure environment with their customers and partners on any cloud in a privacy-safe way.

1. Any language and workload of your choice: ""Run computations in any language — SQL, Python, R, Scala and Java — enabling joins and crosswalks as well as complex computations and ML/AI use cases.""
2. Any scale with collaboration at any trust level: ""Easily scale to complex workloads with API support, built-in orchestration and multiparty collaboration.""
3. Any cloud, any platform with no replication: ""Collaborate across clouds, across regions and across data platforms — without requiring data movement — powered by Delta Sharing.""

Use Cases

1. Category management for retail and consumer goods: Clean rooms enable real-time collaboration between retailers and suppliers, ensuring secure information exchange for demand forecasting, inventory planning and supply chain optimization. This improves product availability, reduces costs and streamlines operations for both parties.
2. Real-world evidence (RWE) for healthcare: Clean rooms provide secure access to sensitive healthcare datasets, allowing collaborators to connect and query multiple sources of data without compromising data privacy. This supports RWE use cases such as regulatory decisions, safety, clinical trial design and observational research.
3. Audience overlap exploration for media and entertainment: By creating a clean room environment, media companies can securely share their audience data with advertisers or other media partners. This allows them to perform in-depth analysis and identify shared audience segments without directly accessing or exposing individual user information.
4. Know Your Customer (KYC) in banking: KYC standards are designed to combat financial fraud, money laundering and terrorism financing. Clean rooms can be used within a given jurisdiction to allow financial services companies to collaborate and run shared analytics to build a holistic view of a transaction for investigations.
5. Personalization with expanded interests for retailers: Retailers want to target consumers based on past purchases, as well as other purchases with different retailers. Clean rooms enable retailers to augment their knowledge of consumers to suggest new products and services that are relevant to the individual but have not yet been purchased.
6. 5G data monetization for telecom: 5G data monetizatio n enables telecoms to capitalize on data from 5G networks. Clean rooms provide a secure environment for collaboration with trusted partners, ensuring privacy while maximizing data value for optimized services, personalized experiences and targeted advertising.


",https://www.databricks.com/product/clean-room,"cleanroom, multicloud, secure collaboration",2
Governance,Unity Catalog,Unified governance for all data analytics,"Databricks Unity Catalog is the industry’s only unified and open governance solution for data and AI, built into the Databricks Data Intelligence Platform. With Unity Catalog, organizations can seamlessly govern both structured and unstructured data in any format, as well as machine learning models, notebooks, dashboards and files across any cloud or platform. Data scientists, analysts and engineers can securely discover, access and collaborate on trusted data and AI assets across platforms, leveraging AI to boost productivity and unlock the full potential of the lakehouse environment. This unified and open approach to governance promotes interoperability and accelerates data and AI initiatives while simplifying regulatory compliance.

Unified visibility into data and AI:
""Easily discover and classify both structured and unstructured data in any format, including machine learning models, notebooks, dashboards and files across all cloud platforms. Seamlessly manage, govern and query data from external databases and data warehouses like MySQL, PostgreSQL, Amazon Redshift, Snowflake, Azure SQL, Azure Synapse, Google BigQuery and catalogs such as HMS and AWS Glue in one place. Accelerate your data and AI initiatives with a single point of access for data exploration. Improve productivity with intelligent search, discovery and automatically generated data insights and documentation.""

Single permission model for data and AI:
""Simplify access management with a unified interface to define access policies on data and AI assets and consistently apply and audit these policies on any cloud or data platform. Securely access data from other computing platforms using open interfaces, with consistent permissions managed in one place. Enhance security with fine-grained control on rows and columns, while efficiently managing access through low-code attribute-based access policies that scale seamlessly.""

AI-powered monitoring and observability:
Harness the power of AI to automate monitoring, diagnose errors and uphold data and ML model quality. Benefit from proactive alerts that automatically detect personally identifiable information (PII) data, track model drift, and effectively resolve issues within your data and AI pipelines to maintain accuracy and integrity. Streamline debugging, root cause analysis, and impact assessment with automated column-level data lineage. Gain comprehensive observability into your data and AI with operational intelligence utilizing built-in system tables for billing, auditing, lineage and more.

Open accessibility:
Securely access your data and AI assets from any compute engine using open APIs and standard interfaces. Share data and AI assets across clouds, regions and platforms with open source Delta Sharing. Securely collaborate with anyone, anywhere to unlock new revenue streams and drive business value, without relying on proprietary formats, complex ETL processes or costly data replication.

Integration with modern data stack: Unity Catalog works with your existing data catalogs, data storage systems and governance solutions so you can leverage your existing investments and build a future-proof governance model without expensive migration costs.



",https://www.databricks.com/product/unity-catalog,"Data governance, catalog management, lineage tracking, secure collaboration, auditability, cross-cloud control, asset centralization",3
Artifical Intelligence,Mosaic AI,Build and deploy production quality ML and GenAI applications,"Databricks Mosaic AI provides unified tooling to build, deploy, evaluate and govern AI and ML solutions — from building predictive ML models to the latest GenAI apps. Built on the Databricks Data Intelligence Platform, Mosaic AI enables organizations to securely and cost-effectively build production-quality compound AI systems integrated with their enterprise data.
1. Production Quality: Deliver accurate outputs, customized with enterprise data
2. Complete Control: End-to-end Governance across all data + AI assets
3. Lower Cost: Train and serve your own custom LLMs at 10x lower cost

Start building your generative AI solution: 
""There are four architectural patterns to consider when building a large language model–based (LLM) solution, including prompt engineering, retrieval augmented generation (RAG), fine-tuning and pretraining. Databricks is the only provider that enables all four generative AI architectural patterns, ensuring you have the most options and can evolve as your business requirements change.""

Complete ownership over your models and data:
""Mosaic AI is part of the Databricks Data Intelligence Platform, which unifies data, model training and production environments in a single solution. You can securely use your enterprise data to augment, fine-tune or build your own machine learning and generative AI models, powering them with a semantic understanding of your business without sending your data and IP outside your walls.""

Deploy and govern all your AI models centrally:
""Model Serving is a unified service for deploying, governing and querying AI models. Our unified approach makes it easy to experiment with and productionize models. This includes
Custom ML models like PyFunc, scikit-learn and LangChain ;
Foundation models (FMs) on Databricks like Llama 3, MPT, Mistral and BGE ;
Foundation models hosted elsewhere like ChatGPT, Claude 3, Cohere and Stable Diffusion""

Monitor data, features and AI models in one place:
""Lakehouse Monitoring provides a single, unified monitoring solution inside the Databricks Data Intelligence Platform. It monitors the statistical properties and quality of all tables with a single click. For applications powered by generative AI, it can scan outputs for toxic and unsafe content as well as diagnose errors.""

Govern and track lineage across the full AI lifecycle from data to models:
""Enforce proper permissions, set rate limits and track lineage to meet stringent security and governance requirements. All ML assets from data to models can be governed with a single tool, Unity Catalog, to help ensure consistent oversight and control at every stage of the ML lifecycle through development, deployment and maintenance.""

Train and serve your own custom LLMs at 10x lower cost:
""With Mosaic AI, you can build your own custom large language model from scratch to ensure the foundational knowledge of the model is tailored to your specific domain. By training on your organization’s IP with your data, it creates a customized model that is uniquely differentiated. Databricks Mosaic AI Training is an optimized training solution that can build new multibillion-parameter LLMs in days with up to 10x lower training costs.""





",https://www.databricks.com/product/machine-learning,"Generative AI, LLMOps, Foundation Models, Vector Database, Model Serving, Prompt Engineering, RAG, Fine-tuning, Pre-training, AI Governance, Payload Logging, AI Monitoring, AI Lifecycle Optimization, Content Filtration​",4
Artifical Intelligence,Mosaic AI Vector Search,A highly performant vector database with governance built in,"A highly performant vector database with governance built-in
Unlock generative AI’s full potential with Databricks Vector Search

Vector Search is a serverless vector database
seamlessly integrated in the Data Intelligence Platform

Unlike other databases, Databricks Vector Search supports automatic data synchronization from source to index, eliminating complex and costly pipeline maintenance. It leverages the same security and data governance tools organizations have already built for peace of mind. With its serverless design, Databricks Vector Search easily scales to support billions of embeddings and thousands of real-time queries per second.

Built for retrieval augmented generation (RAG): Databricks Vector Search is purpose-built for customers to augment their large language models (LLMs) with enterprise data. Specifically designed for retrieval augmented generation (RAG) applications, Databricks Vector Search delivers similarity search results, enriching LLM queries with context and domain knowledge, and improving accuracy and quality of results.

Automated real-time pipelines: Real-time synchronization of source data by automatically updating the corresponding vector index as new data is introduced, modified or removed. Under the hood, Databricks does the embedding vector generation and management, and automatically manages failures, handles retries, optimizes throughput, and does automatic batch size tuning and autoscaling without any intervention needed.

Built-in governance: The unified interface defines policies on data, with fine-grained access control on embeddings. With built-in integration to Unity Catalog, Vector Search shows data lineage and tracking automatically without the need for additional tools or security policies. This ensures LLM models won’t expose confidential data to users who shouldn’t have access.

Fast query performance: Automatically scales out to handle billions of embeddings in an index and thousands of queries per second. It shows up to 5x faster performance than other leading vector databases on up to 1 million OpenAI embedding datasets.




",https://www.databricks.com/product/machine-learning/vector-search,"Vector search, similarity search, machine learning models, high-dimensional data, nearest-neighbor search, AI-powered databases, RAG",5
Artifical Intelligence,Mosaic AI Agent Framework,Built production quality retreival augmented generation(RAG) apps,"Build production-quality retrieval augmented generation (RAG) apps
Retrieval augmented generation (RAG) is a generative AI application pattern that finds data/documents relevant to a question or task and provides them as context for large language models (LLMs) to give more accurate responses.
Mosaic AI Agent Framework is a suite of tooling designed to help developers build and deploy high-quality generative AI applications using RAG for output that is consistently measured and evaluated to be accurate, safe and governed. Mosaic AI Agent Framework makes it easy for developers to evaluate the quality of their RAG application, iterate quickly with the ability to test their hypothesis, redeploy their application easily, and have the appropriate governance and guardrails to ensure quality continuously.

Highest production quality: Mosaic AI Agent Framework helps organizations deploy production-quality GenAI applications for output that is consistently measured and evaluated to be accurate, safe and governed. Mosaic AI Agent Framework has built-in proprietary AI-assisted evaluation that can automatically determine if outputs are high quality, as well as an intuitive UI to get feedback from human stakeholders.

Rapid development iteration: Mosaic AI Agent Framework makes it easy for developers to take feedback about the GenAI application and rapidly iterate on changes to test every hypothesis. They can then redeploy their application into production with no code changes using an end-to-end LLMOps workflow. Developers can iterate on all aspects of the RAG process: from data preparation, vector databases and model deployment to monitoring, security and governance.

Governance and guardrails: Mosaic AI Agent Framework is seamlessly integrated with the rest of the Databricks Data Intelligence Platform. This means you have everything you need to deploy an end-to-end RAG system, from security and governance to data integration, vector databases, quality evaluation and one-click optimized deployment. With governance and guardrails in place, you can also prevent toxic responses and ensure your application follows your organization’s policies.

Automated real-time pipelines for any type of data: Mosaic AI natively supports serving and indexing your data for online retrieval. For unstructured data (text, images and video), Vector Search automatically indexes and serves data, making it accessible for RAG applications without needing to create separate data pipelines. Under the hood, Vector Search manages failures, handles retries and optimizes batch sizes to provide you with the best performance, throughput and cost. For structured data, Feature and Function Serving provides millisecond-scale queries of contextual data, such as user or account data, that enterprises often want to inject into prompts in order to customize them based on user information.
",https://www.databricks.com/product/machine-learning/retrieval-augmented-generation,"Enterprise AI, RAG applications, agent development, LLM augmentation, enterprise integration",6
Artifical Intelligence,Mosaic AI Model Serving,Unified deployment and governance for all AI models,"Unified deployment and governance for all AI models.
Mosaic AI Model Serving is a unified service for deploying, governing, querying and monitoring models fine-tuned or pre-deployed by Databricks like Meta Llama 3, DBRX or BGE, or from any other model provider like Azure OpenAI, AWS Bedrock, AWS SageMaker or Anthropic. Our unified approach makes it easy to experiment with and productionize models from any cloud or provider to find the best candidate for your real-time application. With batch inference support, you can efficiently run AI inference on large datasets, complementing real-time serving for comprehensive model evaluation. You can do A/B testing of different models and monitor model quality on live production data once they are deployed. Model Serving also has pre-deployed models such as Llama 3 70B, allowing you to jump-start developing AI applications like retrieval augmented generation (RAG) and provide pay-per-token access or pay-for-provisioned compute for throughput guarantees.

Simplified deployment for all AI models: Deploy any model type, from pretrained open source models to custom models built on your own data — on both CPUs and GPUs. Automated container build and infrastructure management reduce maintenance costs and speed up deployment so you can focus on building your AI projects and delivering value faster for your business.

Unified management for all models: Manage all models, including custom ML models like PyFunc, scikit-learn and LangChain, foundation models (FMs) on Databricks like Llama 3, MPT and BGE, and foundation models hosted elsewhere like ChatGPT, Claude 3, Cohere and Stable Diffusion. Model Serving makes all models accessible in a unified user interface and API, including models hosted by Databricks, or from another model provider on Azure or AWS.

Effortless batch inference: Model Serving enables efficient AI inference on large datasets, supporting all data types and models in a serverless environment. You can seamlessly integrate with Databricks SQL, Notebooks and Workflows to apply AI models across vast amounts of data in one streamlined operation. Enhance data processing, generate embeddings and evaluate models — all without complex rework.

Governance built-in: Integrate with Mosaic AI Gateway to meet stringent security and advanced governance requirements. You can enforce proper permissions, monitor model quality, set rate limits, and track lineage across all models whether they are hosted by Databricks or on any other model provider.

Data-centric models: Accelerate deployments and reduce errors through deep integration with the Data Intelligence Platform. You can easily host various generative AI models, augmented (RAG) or fine-tuned with their enterprise data. Model Serving offers automated lookups, monitoring and governance across the entire AI lifecycle.

Cost-effective: Serve models as a low-latency API on a highly available serverless service with both CPU and GPU support. Effortlessly scale from zero to meet your most critical needs — and back down as requirements change. You can get started quickly with one or more pre-deployed models and pay-per-token (on demand with no commitments) or pay-for-provisioned compute workloads for guaranteed throughput. Databricks will take care of infrastructure management and maintenance costs, so you can focus on delivering business value.






",https://www.databricks.com/product/model-serving,"Real-time ML serving, API integration, scalable hosting, low latency, production-grade deployment, inference optimization, monitoring, Model Deployment, Generative AI, External Model Support, Low Latency, AI Optimization​",7
Artifical Intelligence,Mosaic AI AI Gateway,Manage and govern all GenAI models across the enterprise,"Manage and govern all GenAI models across the enterprise
Secure access to any AI model: Mosaic AI Gateway protects your data and GenAI deployments through centralized governance across all models in your enterprise. With support for any model endpoint, including Azure OpenAI, Amazon Bedrock on AWS, and Meta Llama 3, AI Gateway allows you to tap into cutting-edge innovations through a single, powerful query interface. With AI Gateway you can easily test and swap new models without requiring changes to your codebase. It captures usage tracking in Unity Catalog, with permissions enforced to prevent sensitive data leaks. Additionally, with real-time spending insights, AI Gateway keeps your finances in check and your operations streamlined.

Unified access to all AI models: Mosaic AI Gateway offers unified access to a wide range of models, including external LLMs like OpenAI and Meta Llama 3, through a single standard query interface. This eliminates the need to maintain separate systems to manage AI traffic. Enterprises can effortlessly switch between foundation and custom models, ensuring uninterrupted pipelines and simplified maintenance.

Advanced security and governance: Adopting GenAI means navigating complex security protocols, data governance standards and access controls. AI Gateway simplifies this by capturing data flowing through model APIs — such as payload logs, usage tracking and guardrail activation — into Unity Catalog for secure storage, sharing and management. With centralized governance and custom guardrails like content filtration and PII detection, it ensures consistent security and compliance across all endpoints, protecting your organization’s most critical information.

Improved model accuracy:
Elevate your model quality with our robust observability tools that capture detailed request and response data. Payload logging enables you to debug, fine-tune and enhance models, improving accuracy and reducing latency. This ensures your AI applications perform at their best and deliver optimal results.

Spending oversight: Our observability tools offer detailed usage tracking and spending oversight. With real-time insights into your AI operations, you can monitor expenses, optimize resource allocation and ensure efficient performance. These tools help you maintain financial control while maximizing the effectiveness of your AI deployments.





",https://www.databricks.com/product/ai-gateway,"Centralized AI governance, curated model catalog, PII protection, cost management, model discovery",8
Artifical Intelligence,Mosaic AI Model Training,Fine Tune and Pretrain your own LLMs and other genrative AI models,"Fine-tune and pretrain your own LLMs and other generative AI models
Fine-tune an open source LLM or build custom LLMs trained on your enterprise data with Mosaic AI Model Training. Custom models built with Model Training are faster, produce higher-quality results that are more domain-specific, and have up to 10x lower costs than proprietary LLMs.

Highly accurate: Fine-tuning an open source LLM or building a new LLM with enterprise data leads to a greater semantic understanding of the business and delivers highly accurate responses. Because Mosaic AI Model Training is natively available in Databricks, organizations can easily and securely fine-tune or build models without moving their data. This also ensures governance, auditability, traceability and monitoring to ensure models are used in the right way and are providing the right responses. The result is higher-quality and accurate results that are specific to the business context.

Effortless scale: A key element to high-performance LLM training is scalability, which requires fast, low-latency networking and access to the highest-performing GPUs. Using Mosaic AI Model Training automatically gives you access to both NVIDIA InfiniBand networking and NVIDIA H100 Tensor Core GPUs, the highest-performing NVIDIA GPUs, which give unprecedented performance and scalability compared to previous hardware generations. This lets you scale to train large (>70 billion-parameter) models easily and complete training runs in hours and days.

Cost-effective: Mosaic AI Model Training can fine-tune smaller open source GenAI LLMs to produce highly efficient models that can be served up to 5x more cost-effectively than larger proprietary LLMs. Additionally, you can build new LLMs from scratch using an optimized software stack that makes training LLMs cost-effective. A combination of system-level optimizations, tuned parallelism strategies and model training science results in a 10x lower cost of training.

Secure and compliant: For most organizations, security is paramount, and they can’t afford to have their employees send their data to a third-party API and risk having the data leaked or used to train a public model. Mosaic AI Model Training ensures that this can never happen, because organizations will build their own LLM where they maintain complete control and ownership over both the data and the model. Everything remains encrypted by default, including traffic and all training data. This ensures you have complete data privacy and full model ownership, meeting any regulatory compliance.




",https://www.databricks.com/product/machine-learning/mosaic-ai-training,"Model finetuning, transfer learning, domain adaptation, model optimization, specialized training, custom datasets, Model pre-training, large-scale training, supervised learning, unsupervised learning, model initialization, deep learning",9
